body_pre,body_post,weight,source_type,descending_type
40741,10417,82,SMP068,DNp103
11677,10417,82,PVLP151,DNp103
521693,10931,82,PVLP122,DNpe045
11047,10417,82,PS001,DNp103
21287,11137,82,LC4,DNp04
30194,10361,82,SAD013,DNg40
518439,10010,82,LC4,DNp01
13337,10449,81,AN08B020,DNpe025
517193,10106,81,LoVC7,DNp11
11205,10001,81,SAD073,DNp01
19572,10283,81,CB2316,DNp103
527690,10106,81,PVLP022,DNp11
19440,10228,81,AN09B016,DNp06
15665,10106,81,SAD064,DNp11
14316,10234,81,CL121_b,DNp35
10246,10197,81,SAD096,DNp02
31429,531898,81,LC4,DNp04
13472,10228,81,SAD053,DNp06
20859,10010,81,LC4,DNp01
20568,10417,81,CB3466,DNp103
19721,10234,81,AVLP040,DNp35
26872,10228,80,SIP118m,DNp06
514018,10283,80,CB2458,DNp103
10252,10283,80,CL001,DNp103
24717,10601,80,AVLP526,DNpe025
31301,531898,80,LC4,DNp04
30803,10106,80,LC4,DNp11
24411,10584,80,PVLP124,DNp06
562991,11020,80,LoVP85,DNp05
518439,10259,80,LC4,DNp11
12964,10283,80,AVLP369,DNp103
11133,10010,80,DNp70,DNp01
13901,12628,80,AN27X015,DNpe042
521693,10010,80,PVLP122,DNp01
806736,10283,80,IN00A041,DNp103
10797,10197,79,AN12B001,DNp02
520032,10234,79,AVLP455,DNp35
555227,10091,79,CL038,DNpe042
31096,10417,79,SMP068,DNp103
941628,10283,79,AVLP182,DNp103
20808,11137,79,LC4,DNp04
20098,10558,79,CB0391,DNp35
17375,10197,79,SAD064,DNp02
107513,531898,78,LC4,DNp04
11397,10923,78,SAD013,DNg40
79679,10010,78,JO-B1_a,DNp01
514252,10228,78,AVLP488,DNp06
30480,10106,78,LC4,DNp11
29563,11137,78,LC4,DNp04
536389,524001,78,PLP214,DNp05
531983,10001,78,AVLP452,DNp01
10307,10283,78,AVLP083,DNp103
27870,10601,78,SIP119m,DNpe025
12129,10259,78,SAD053,DNp11
11794,10223,78,LC31b,DNpe056
556303,10228,78,CB1498,DNp06
22966,10106,77,LC4,DNp11
12242,10117,77,SAD055,DNp02
10180,10931,77,AN02A002,DNpe045
10147,10234,77,LHAD1g1,DNp35
14551,10584,77,AVLP435_b,DNp06
10792,10091,77,AVLP571,DNpe042
517110,10989,77,AOTU036,DNp03
21342,10228,77,CL323,DNp06
13495,10601,77,pC1_11a,DNpe025
11272,10923,77,PVLP062,DNg40
803449,10283,77,IN00A048,DNp103
10867,10283,77,PVLP076,DNp103
516909,531898,77,LC4,DNp04
23098,11137,77,LC4,DNp04
10115,10223,77,AVLP016,DNpe056
524899,531898,77,LC4,DNp04
10128,10001,77,SAD103,DNp01
12184,11334,77,PVLP122,DNpe045
11187,10091,77,LoVP54,DNpe042
19685,10989,76,LPLC1,DNp03
30047,10234,76,AVLP051,DNp35
22292,10931,76,AVLP094,DNpe045
10128,10106,76,SAD103,DNp11
10667,10228,76,AVLP210,DNp06
11205,10923,76,SAD073,DNg40
16637,10931,76,CL095,DNpe045
22093,10601,76,pC1_2c,DNpe025
15831,10584,76,AVLP605,DNp06
14988,10283,76,AVLP263,DNp103
29417,531898,76,LC4,DNp04
10992,10417,76,PVLP122,DNp103
27444,10283,76,AVLP177_a,DNp103
10224,10228,76,AVLP001,DNp06
11391,10259,76,SAD109,DNp11
523022,10417,76,CL032,DNp103
16424,10010,76,PVLP027,DNp01
19349,10234,76,CB0154,DNp35
17860,11137,76,LC4,DNp04
10689,10117,76,AN12B001,DNp02
12052,10752,76,LPLC1,DNp03
26704,10417,76,AVLP182,DNp103
21336,11137,76,LC4,DNp04
14085,10283,76,AN09B012,DNp103
513862,10283,75,SMP068,DNp103
30511,10091,75,AVLP498,DNpe042
13085,10283,75,AVLP571,DNp103
12419,10601,75,CL140,DNpe025
18918,524001,75,LPLC4,DNp05
13734,10732,75,ANXXX102,DNpe056
16931,10361,75,SAD073,DNg40
13734,10283,75,ANXXX102,DNp103
15690,10091,75,SMP482,DNpe042
803449,10417,75,IN00A048,DNp103
11102,531898,75,PVLP046,DNp04
10637,12628,75,FLA016,DNpe042
19864,11334,75,CB3879,DNpe045
13894,10417,75,CL066,DNp103
15018,10259,75,LC4,DNp11
25438,10197,75,SAD064,DNp02
48344,10601,75,SIP123m,DNpe025
11378,10010,75,CB1280,DNp01
14106,10001,75,CB2664,DNp01
13465,10228,75,ANXXX102,DNp06
521326,10234,74,AVLP259,DNp35
13919,10584,74,CL022_b,DNp06
520621,12628,74,FLA016,DNpe042
532942,10931,74,VES053,DNpe045
24338,11137,74,LC4,DNp04
55685,11334,74,CL095,DNpe045
13269,10283,74,PLP018,DNp103
100485,531898,74,LC4,DNp04
10674,10417,74,DNp59,DNp103
527699,10117,74,SAD064,DNp02
17616,10001,74,PVLP123,DNp01
12081,11573,74,CL111,DNpe021
801828,10010,74,IN12B015,DNp01
12980,10417,74,CB2458,DNp103
11472,10234,74,PVLP015,DNp35
20392,10449,74,pC1_2c,DNpe025
523436,10283,74,WED072,DNp103
10091,10001,74,DNpe042,DNp01
17066,10417,74,AVLP175,DNp103
513542,10417,74,CL204,DNp103
11518,10228,74,AVLP201,DNp06
11108,10283,74,CL286,DNp103
29514,531898,74,LC4,DNp04
17584,10361,74,PVLP123,DNg40
14899,10361,74,AN05B006,DNg40
10997,11020,73,AN06B009,DNp05
30718,10732,73,AVLP580,DNpe056
537751,10732,73,CL117,DNpe056
517095,10223,73,aSP10B,DNpe056
12964,12628,73,AVLP369,DNpe042
17186,10283,73,AVLP341,DNp103
12101,11573,73,PS058,DNpe021
46003,10417,73,WED072,DNp103
19260,11137,73,LC4,DNp04
521736,10091,73,SMP709m,DNpe042
514956,10259,73,LC4,DNp11
512121,10259,73,CB1280,DNp11
14369,10417,73,CB0992,DNp103
