body_pre,body_post,weight,source_type,target_type
29469,10752,31,LC4,DNp03
22328,10106,31,LC4,DNp11
29417,16475,31,LC4,PVLP024
17860,10146,31,LC4,AMMC-A1
519650,10017,31,LC4,AMMC-A1
519650,10197,31,LC4,DNp02
20282,13794,31,LC4,PVLP021
21336,19454,31,LC4,PVLP024
17608,11927,31,LC4,PVLP122
17608,10257,31,LC4,AMMC-A1
19954,530085,31,LC4,PVLP022
19794,13794,31,LC4,PVLP021
17340,10373,31,LC4,PVLP141
14888,10017,31,LC4,AMMC-A1
520449,10752,31,LC4,DNp03
17266,532199,31,LC4,AMMC-A1
19634,10117,31,LC4,DNp02
532254,10752,31,LC4,DNp03
17270,16475,31,LC4,PVLP024
21165,16459,30,LC4,PVLP024
21165,19454,30,LC4,PVLP024
21313,10117,30,LC4,DNp02
19543,13794,30,LC4,PVLP021
515476,10752,30,LC4,DNp03
18127,19454,30,LC4,PVLP024
22328,12215,30,LC4,PVLP122
520449,10074,30,LC4,PVLP010
17340,10074,30,LC4,PVLP010
22847,10277,30,LC4,AMMC-A1
21336,531985,30,LC4,PVLP010
514956,16475,30,LC4,PVLP024
25584,10001,30,LC4,DNp01
25584,19454,30,LC4,PVLP024
17478,10017,30,LC4,AMMC-A1
22975,19454,30,LC4,PVLP024
29417,10752,30,LC4,DNp03
22975,10146,30,LC4,AMMC-A1
