pre_bodyId,pre_type,pre_side,post_bodyId,post_type,post_side,weight,source_population,target_population,is_ipsilateral,survives_w3,survives_w10
516909,LC4,L,10010,DNp01,L,47,LC4,DNp01,True,True,True
518544,LC4,L,10010,DNp01,L,47,LC4,DNp01,True,True,True
22034,LC4,R,10106,DNp11,R,47,LC4,DNp11,True,True,True
17270,LC4,L,10197,DNp02,L,47,LC4,DNp02,True,True,True
17544,LPLC2,L,10228,DNp06,L,47,LPLC2,DNp06,True,True,True
25253,LPLC2,R,10283,DNp103,R,47,LPLC2,DNp103,True,True,True
18672,LPLC2,R,11137,DNp04,R,47,LPLC2,DNp04,True,True,True
519931,LC4,L,531898,DNp04,L,47,LC4,DNp04,True,True,True
18189,LC4,R,10001,DNp01,R,46,LC4,DNp01,True,True,True
20016,LC4,R,10001,DNp01,R,46,LC4,DNp01,True,True,True
23878,LPLC2,R,10001,DNp01,R,46,LPLC2,DNp01,True,True,True
17608,LC4,L,10010,DNp01,L,46,LC4,DNp01,True,True,True
20799,LPLC2,L,10010,DNp01,L,46,LPLC2,DNp01,True,True,True
518983,LC4,L,10010,DNp01,L,46,LC4,DNp01,True,True,True
519650,LC4,L,10010,DNp01,L,46,LC4,DNp01,True,True,True
520764,LPLC2,L,10010,DNp01,L,46,LPLC2,DNp01,True,True,True
21287,LC4,R,10106,DNp11,R,46,LC4,DNp11,True,True,True
28044,LPLC2,R,10923,DNg40,R,46,LPLC2,DNg40,True,True,True
20584,LPLC2,R,11137,DNp04,R,46,LPLC2,DNp04,True,True,True
19420,LC4,R,10001,DNp01,R,45,LC4,DNp01,True,True,True
20162,LPLC2,R,10001,DNp01,R,45,LPLC2,DNp01,True,True,True
30480,LC4,R,10001,DNp01,R,45,LC4,DNp01,True,True,True
20440,LC4,L,10010,DNp01,L,45,LC4,DNp01,True,True,True
31429,LC4,L,10010,DNp01,L,45,LC4,DNp01,True,True,True
515971,LPLC2,L,10010,DNp01,L,45,LPLC2,DNp01,True,True,True
17987,LC4,R,10117,DNp02,R,45,LC4,DNp02,True,True,True
519931,LC4,L,10197,DNp02,L,45,LC4,DNp02,True,True,True
19794,LC4,R,10001,DNp01,R,44,LC4,DNp01,True,True,True
20673,LC4,R,10001,DNp01,R,44,LC4,DNp01,True,True,True
31964,LPLC2,R,10001,DNp01,R,44,LPLC2,DNp01,True,True,True
17775,LPLC2,L,10010,DNp01,L,44,LPLC2,DNp01,True,True,True
517819,LPLC2,L,10010,DNp01,L,44,LPLC2,DNp01,True,True,True
21804,LC4,R,10106,DNp11,R,44,LC4,DNp11,True,True,True
17860,LC4,R,10117,DNp02,R,44,LC4,DNp02,True,True,True
21165,LC4,R,10117,DNp02,R,44,LC4,DNp02,True,True,True
12032,LC4,L,10197,DNp02,L,44,LC4,DNp02,True,True,True
20859,LC4,L,10197,DNp02,L,44,LC4,DNp02,True,True,True
77614,LC4,L,10197,DNp02,L,44,LC4,DNp02,True,True,True
518016,LC4,L,10197,DNp02,L,44,LC4,DNp02,True,True,True
520449,LC4,L,10197,DNp02,L,44,LC4,DNp02,True,True,True
533129,LC4,L,10197,DNp02,L,44,LC4,DNp02,True,True,True
37587,LC4,L,10259,DNp11,L,44,LC4,DNp11,True,True,True
21862,LPLC2,R,10283,DNp103,R,44,LPLC2,DNp103,True,True,True
30207,LPLC2,R,10283,DNp103,R,44,LPLC2,DNp103,True,True,True
29702,LPLC2,L,10417,DNp103,L,44,LPLC2,DNp103,True,True,True
17340,LC4,L,10752,DNp03,L,44,LC4,DNp03,True,True,True
17608,LC4,L,10752,DNp03,L,44,LC4,DNp03,True,True,True
28871,LPLC2,R,10923,DNg40,R,44,LPLC2,DNg40,True,True,True
21769,LPLC2,R,11137,DNp04,R,44,LPLC2,DNp04,True,True,True
12384,LPLC2,L,531898,DNp04,L,44,LPLC2,DNp04,True,True,True
515971,LPLC2,L,531898,DNp04,L,44,LPLC2,DNp04,True,True,True
